season,week,name,score,status,industry,age,est_vote_share,est_vote_std,method_used,is_consistent,certainty_score,score_norm,week_norm,ind_athlete,ind_actor,ind_singer,ind_model,ind_comedian,age_norm,prev_vote_share,score_sq,age_sq,score_x_age,bias,ml_pred_vote_share
1,1,Evander Holyfield,24.0,Safe,Athlete,42,0.1615645976640631,0.0967298499398283,Ranking,True,0.6069470076758701,0.7142856377551106,0.1,1,0,0,0,0,0.44,0.1,0.510203972303225,0.1936,0.31428568061224865,1.0,0.09864708353520257
1,2,Evander Holyfield,18.666666666666664,Safe,Athlete,42,0.196756719894278,0.0700845437392467,Ranking,True,0.7044565279172715,0.0,0.2,1,0,0,0,0,0.44,0.1615645976640631,0.0,0.1936,0.0,1.0,0.15009738638874676
1,3,Evander Holyfield,17.333333333333332,Eliminated,Athlete,42,0.1161048988145115,0.0505342356361183,Ranking,True,0.6703892388922422,0.0,0.3,1,0,0,0,0,0.44,0.196756719894278,0.0,0.1936,0.0,1.0,0.1885608372648229
1,1,Joey McIntyre,26.666666666666664,Safe,Singer/Rapper,32,0.1991020408619565,0.1061026002472472,Ranking,True,0.6069470076758701,0.9999998928571544,0.1,0,0,1,0,0,0.24,0.1,0.9999997857143202,0.0576,0.23999997428571704,1.0,0.10407596403106235
1,2,Joey McIntyre,28.0,Safe,Singer/Rapper,32,0.2039718271629424,0.0871580277771384,Ranking,True,0.7044565279172715,0.5833332968750023,0.2,0,0,1,0,0,0.24,0.1991020408619565,0.34027773524305965,0.0576,0.13999999125000057,1.0,0.1972421620485774
1,3,Joey McIntyre,29.33333333333333,Safe,Singer/Rapper,32,0.2361322330937298,0.0954388121410324,Ranking,True,0.6703892388922422,0.692307652366866,0.3,0,0,1,0,0,0.24,0.2039718271629424,0.4792898855257213,0.0576,0.16615383656804783,1.0,0.20719640792301802
1,4,Joey McIntyre,26.666666666666664,Safe,Singer/Rapper,32,0.3290739739817738,0.0817909652134495,Ranking,True,0.6872605497499533,0.0,0.4,0,0,1,0,0,0.24,0.2361322330937298,0.0,0.0576,0.0,1.0,0.2282149372461435
1,5,Joey McIntyre,30.0,Safe,Singer/Rapper,32,0.3402816724503283,0.1232701584554604,Ranking,True,0.5105593576094845,0.0,0.5,0,0,1,0,0,0.24,0.3290739739817738,0.0,0.0576,0.0,1.0,0.32604369852307774
1,6,Joey McIntyre,0.0,Safe,Singer/Rapper,32,0.3162108718531459,0.1113460954009617,Ranking,True,0.542899903789861,0.0,0.6,0,0,1,0,0,0.24,0.3402816724503283,0.0,0.0576,0.0,1.0,0.33985170067951703
1,1,John O'Hurley,26.666666666666664,Safe,Actor/Actress,50,0.1807796730017805,0.1020515710477422,Ranking,True,0.6069470076758701,0.9999998928571544,0.1,0,1,0,0,0,0.6,0.1,0.9999997857143202,0.36,0.5999999357142927,1.0,0.10086542832163697
1,2,John O'Hurley,34.666666666666664,Safe,Actor/Actress,50,0.1917770908059949,0.0912674841921775,Ranking,True,0.7044565279172715,0.9999999375000038,0.2,0,1,0,0,0,0.6,0.1807796730017805,0.9999998750000115,0.36,0.5999999625000023,1.0,0.18619185829304735
1,3,John O'Hurley,32.0,Safe,Actor/Actress,50,0.2138426500217061,0.0931107480140866,Ranking,True,0.6703892388922422,0.846153797337281,0.3,0,1,0,0,0,0.6,0.1917770908059949,0.7159762487483005,0.36,0.5076922784023686,1.0,0.19576030568620312
