season,week,name,score,status,est_vote_share,est_vote_std,method_used,is_consistent,certainty_score,age,industry,Ind_Actor/Actress,Ind_Athlete,Ind_Model,Ind_Singer/Rapper,Ind_TV Personality,Ind_News Anchor,Ind_Sports Broadcaster,Ind_Beauty Pagent,Ind_Racing Driver,Ind_Magician,Ind_Radio Personality,Ind_Comedian,Ind_Entrepreneur,Ind_Politician,Ind_Astronaut,Ind_Fashion Designer,Ind_Social Media Personality,Ind_Motivational Speaker,Ind_Military,Ind_Journalist,Ind_Musician,Ind_Producer,Ind_Fitness Instructor,Ind_Con artist,Ind_Conservationist,Ind_Social media personality
1,1,John O'Hurley,26.666666666666664,Safe,0.1805216916519684,0.1020429910486576,Ranking,True,0.6056705125754205,50,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Kelly Monaco,17.333333333333332,Safe,0.1424961232123363,0.0927272191699392,Ranking,True,0.6056705125754205,29,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Evander Holyfield,24.0,Safe,0.1596202485987083,0.096574743823669,Ranking,True,0.6056705125754205,42,Athlete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Rachel Hunter,26.666666666666664,Safe,0.167511821849092,0.0986506440865246,Ranking,True,0.6056705125754205,35,Model,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Joey McIntyre,26.666666666666664,Safe,0.2016866951179816,0.1061406560881638,Ranking,True,0.6056705125754205,32,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Trista Sutter,24.0,Safe,0.1481634195699137,0.0953579769199148,Ranking,True,0.6056705125754205,32,TV Personality,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,John O'Hurley,34.666666666666664,Safe,0.1876789113928407,0.0939676453740683,Ranking,True,0.6994308433928288,50,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Kelly Monaco,22.666666666666664,Safe,0.1739063417651806,0.079979629877719,Ranking,True,0.6994308433928288,29,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Evander Holyfield,18.666666666666664,Safe,0.1970307497683771,0.0705775888587768,Ranking,True,0.6994308433928288,42,Athlete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Rachel Hunter,32.0,Safe,0.1658512063397668,0.0858107577591653,Ranking,True,0.6994308433928288,35,Model,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Joey McIntyre,28.0,Safe,0.2065307080332504,0.0883489044227922,Ranking,True,0.6994308433928288,32,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Trista Sutter,25.33333333333333,Eliminated,0.0690020827005854,0.0321692086182347,Ranking,True,0.6994308433928288,32,TV Personality,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,John O'Hurley,32.0,Safe,0.2096064053611556,0.0947163671132485,Ranking,True,0.6683840183303105,50,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,Kelly Monaco,28.0,Safe,0.2442073160475573,0.0845139758499062,Ranking,True,0.6683840183303105,29,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,Evander Holyfield,17.333333333333332,Eliminated,0.1182181771671918,0.0509987973477571,Ranking,True,0.6683840183303105,42,Athlete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,Rachel Hunter,34.666666666666664,Safe,0.1889865734337504,0.0892760291603583,Ranking,True,0.6683840183303105,35,Model,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,Joey McIntyre,29.33333333333333,Safe,0.2389815279903442,0.0950148076158415,Ranking,True,0.6683840183303105,32,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,John O'Hurley,28.0,Safe,0.2406292954663219,0.0826089451304506,Ranking,True,0.687378561276158,50,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,Kelly Monaco,34.666666666666664,Safe,0.3023758102867254,0.1043090295482075,Ranking,True,0.687378561276158,29,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,Rachel Hunter,33.33333333333333,Eliminated,0.127881574422639,0.0455803974701585,Ranking,True,0.687378561276158,35,Model,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,Joey McIntyre,26.666666666666664,Safe,0.329113319824312,0.0801230665750252,Ranking,True,0.687378561276158,32,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,John O'Hurley,36.0,Safe,0.3216853374397678,0.1251241886325891,Ranking,True,0.4969171595061746,50,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,Kelly Monaco,31.33333333333333,Safe,0.3324861481703424,0.1245336182887682,Ranking,True,0.4969171595061746,29,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,Joey McIntyre,30.0,Safe,0.3458285143898888,0.1276543234490116,Ranking,True,0.4969171595061746,32,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,John O'Hurley,36.0,Safe,0.3210970549786011,0.1141237627648454,Ranking,True,0.5427667739180342,50,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,Kelly Monaco,36.66666666666666,Safe,0.3588631955172138,0.1146471857169698,Ranking,True,0.5427667739180342,29,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,Joey McIntyre,0.0,Safe,0.3200397495041865,0.1141539710796591,Ranking,True,0.5427667739180342,32,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Tatum O'Neal,30.666666666666664,Safe,0.1134855093535603,0.0672892825445099,Ranking,True,0.7600000385039937,42,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Tia Carrere,26.666666666666664,Safe,0.1048219215139808,0.066408820437305,Ranking,True,0.7600000385039937,39,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,George Hamilton,24.0,Safe,0.1032360682619585,0.0592780715356217,Ranking,True,0.7600000385039937,66,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Lisa Rinna,25.33333333333333,Safe,0.101676907681021,0.0620856929384461,Ranking,True,0.7600000385039937,42,Actor/Actress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Stacy Keibler,29.33333333333333,Safe,0.1248136639465079,0.0697739937039453,Ranking,True,0.7600000385039937,26,Athlete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Jerry Rice,28.0,Safe,0.105722186693943,0.0654196687709208,Ranking,True,0.7600000385039937,43,Athlete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Giselle Fernandez,30.666666666666664,Safe,0.0900565033748972,0.0621568878963534,Ranking,True,0.7600000385039937,44,News Anchor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Master P,16.0,Safe,0.1014287507695025,0.0584941340279316,Ranking,True,0.7600000385039937,35,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Drew Lachey,32.0,Safe,0.1299269609770445,0.0707173763862124,Ranking,True,0.7600000385039937,29,Singer/Rapper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Kenny Mayne,17.333333333333332,Eliminated,0.0248315274275842,0.018375975498769,Ranking,True,0.7600000385039937,46,Sports Broadcaster,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
