season,week,name,score,status,industry,age,est_vote_share,est_vote_std,method_used,is_consistent,certainty_score,score_norm,week_norm,ind_athlete,ind_actor,ind_singer,ind_model,ind_comedian,age_norm,prev_vote_share,score_sq,age_sq,score_x_age,bias,ml_pred_vote_share,Ind_athlete,Ind_actor,Ind_singer,Ind_model,Ind_comedian,age_std,score_std,vote_std
1,1,Evander Holyfield,24.0,Safe,Athlete,42,0.1615645976640631,0.0967298499398283,Ranking,True,0.6069470076758701,0.7142856377551106,0.1,1,0,0,0,0,0.44,0.1,0.510203972303225,0.1936,0.3142856806122486,1.0,0.0995469887486609,1,0,0,0,0,0.41754999698184625,-0.8881693094183735,-0.3358035338245459
1,2,Evander Holyfield,18.666666666666664,Safe,Athlete,42,0.196756719894278,0.0700845437392467,Ranking,True,0.7044565279172715,0.0,0.2,1,0,0,0,0,0.44,0.1615645976640631,0.0,0.1936,0.0,1.0,0.1493926565976613,1,0,0,0,0,0.41754999698184625,-1.5871554821281904,0.5896826426337819
1,3,Evander Holyfield,17.333333333333332,Eliminated,Athlete,42,0.1161048988145115,0.0505342356361183,Ranking,True,0.6703892388922422,0.0,0.3,1,0,0,0,0,0.44,0.196756719894278,0.0,0.1936,0.0,1.0,0.1880579516666562,1,0,0,0,0,0.41754999698184625,-1.7619020253056443,1.3075824650103167
1,1,Joey McIntyre,26.666666666666664,Safe,Singer/Rapper,32,0.1991020408619565,0.1061026002472472,Ranking,True,0.6069470076758701,0.9999998928571544,0.1,0,0,1,0,0,0.24,0.1,0.9999997857143202,0.0576,0.239999974285717,1.0,0.1015344127684711,0,0,1,0,0,-0.35004482171378076,-0.5386762230634655,-0.29890296580191356
1,2,Joey McIntyre,28.0,Safe,Singer/Rapper,32,0.2039718271629424,0.0871580277771384,Ranking,True,0.7044565279172715,0.5833332968750023,0.2,0,0,1,0,0,0.24,0.1991020408619565,0.3402777352430596,0.0576,0.1399999912500005,1.0,0.1958022183207962,0,0,1,0,0,-0.35004482171378076,-0.3639296798860111,1.4513705221174196
1,3,Joey McIntyre,29.33333333333333,Safe,Singer/Rapper,32,0.2361322330937298,0.0954388121410324,Ranking,True,0.6703892388922422,0.692307652366866,0.3,0,0,1,0,0,0.24,0.2039718271629424,0.4792898855257213,0.0576,0.1661538365680478,1.0,0.2058677709338033,0,0,1,0,0,-0.35004482171378076,-0.18918313670855758,1.6382579729982463
1,4,Joey McIntyre,26.666666666666664,Safe,Singer/Rapper,32,0.3290739739817738,0.0817909652134495,Ranking,True,0.6872605497499533,0.0,0.4,0,0,1,0,0,0.24,0.2361322330937298,0.0,0.0576,0.0,1.0,0.2260735649696439,0,0,1,0,0,-0.35004482171378076,-0.5386762230634655,2.0134196243815494
1,5,Joey McIntyre,30.0,Safe,Singer/Rapper,32,0.3402816724503283,0.1232701584554604,Ranking,True,0.5105593576094845,0.0,0.5,0,0,1,0,0,0.24,0.3290739739817738,0.0,0.0576,0.0,1.0,0.3240794275354449,0,0,1,0,0,-0.35004482171378076,-0.10180986511982991,3.833097741470766
1,6,Joey McIntyre,0.0,Safe,Singer/Rapper,32,0.3162108718531459,0.1113460954009617,Ranking,True,0.542899903789861,0.0,0.6,0,0,1,0,0,0.24,0.3402816724503283,0.0,0.0576,0.0,1.0,0.3380995500443633,0,0,1,0,0,-0.35004482171378076,-4.033607086612547,4.09340982342668
1,1,John O'Hurley,26.666666666666664,Safe,Actor/Actress,50,0.1807796730017805,0.1020515710477422,Ranking,True,0.6069470076758701,0.9999998928571544,0.1,0,1,0,0,0,0.6,0.1,0.9999997857143202,0.36,0.5999999357142927,1.0,0.1008973820458561,0,1,0,0,0,1.0316258519383479,-0.5386762230634655,-0.31073073646285493
1,2,John O'Hurley,34.666666666666664,Safe,Actor/Actress,50,0.1917770908059949,0.0912674841921775,Ranking,True,0.7044565279172715,0.9999999375000038,0.2,0,1,0,0,0,0.6,0.1807796730017805,0.9999998750000116,0.36,0.5999999625000023,1.0,0.1864061240758933,0,1,0,0,0,1.0316258519383479,0.5098030360012592,1.276912927072243
1,3,John O'Hurley,32.0,Safe,Actor/Actress,50,0.2138426500217061,0.0931107480140866,Ranking,True,0.6703892388922422,0.846153797337281,0.3,0,1,0,0,0,0.6,0.1917770908059949,0.7159762487483005,0.36,0.5076922784023686,1.0,0.1963818281194812,0,1,0,0,0,1.0316258519383479,0.16030994964635129,1.4621321565697412
